Order,Placing,Name,R1-P,R1-W,R1-W-Low,R2-P,R2-W,R2-W-Low,,,,,,,,,,,,,,,,Points,Weight,,
42,42nd,Dave Edwards,6,17-07,,4,15-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,33-05,20th,33-05
43,43rd,Matt Corne,3,20-09,,7,11-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,32-06,21st,32-06
44,44th,Paul Abbott,7,9-12,,3,18-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,28-07,29th,28-07
45,45th,Julian Collop,3,14-14,,7,11-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,26-10,36th,26-10
46,46th,John Brice,6,9-01,,4,16-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,25-02,42nd,25-02
47,47th,Tony Curtis,3,18-08,,7,6-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,24-13,44th,24-13
48,48th,Charlie Copsey,7,6-11,,3,17-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,24-04,45th,24-04
49,49th,Dave Gooch,3,18-12,,7,3-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,22-04,54th,22-04
50,50th,Tony Gibbons,5,12-03,,5,4-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,16-09,65th,16-09
51,51st,Nick Larkin,4,15-10,,7,15-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,31-04,24th,31-04
52,52nd,Dave Wray,7,10-10,,4,19-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,29-10,28th,29-10
53,53rd,Karl Redgrave,7,9-07,,4,16-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,26-05,38th,26-05
54,54th,Andy Ison,4,16-09,,7,7-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,23-11,48th,23-11
55,55th,Simon White,7,12-03,,4,9-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,21-05,57th,21-05
56,56th,Ben Jackson,7,9-03,,4,4-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,13-14,76th,13-14
57,57th,Dick Transer,7,11-12,,5,18-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,30-07,25th,30-07
58,58th,Paul Tabron,6,10-15,,6,15-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,26-13,34th,26-13
59,59th,Doug Botley,6,12-02,,6,12-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,25-00,43rd,25-00
60,60th,Dean Constable,6,10-00,,6,13-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,23-10,49th,23-10
61,61st,Barry Oliver,6,16-12,,6,4-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,20-12,58th,20-12
62,62nd,Richard Jacobs,5,14-00,,7,5-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,19-08,61st,19-08
63,63rd,Matt Gould,5,8-00,,7,8-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,16-10,64th,16-10
64,64th,Kevin Fuller,6,13-15,,7,12-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,26-05,38th,26-05
65,65th,Dave Milburn,7,15-06,,6,6-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,21-13,55th,21-13
66,66th,Peter Jackson,6,7-07,,7,8-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,15-11,66th,15-11
